,City,Cloudiness (%),Country,Humidity (%),Latitude,Longitude,Wind Speed (MPH),Temperature (F)
435,Lengshuijiang,92.0,CN,99.0,27.66,111.45,2.93,73.29
436,Svetlogorsk,40.0,RU,82.0,53.14,59.15,4.47,66.2
437,Mikkeli,90.0,FI,87.0,61.69,27.27,3.36,60.8
438,Paamiut,92.0,GL,99.0,61.99,-49.67,6.06,39.18
439,Severo-Kurilsk,80.0,RU,91.0,50.68,156.12,3.71,49.08
440,Craig,1.0,US,19.0,40.52,-107.55,6.93,90.07
441,Sibu,75.0,MY,94.0,2.29,111.83,3.36,77
442,Houma,92.0,CN,95.0,35.63,111.36,2.48,66.63
443,Tautira,40.0,PF,74.0,-17.73,-149.15,9.17,80.6
444,Portree,8.0,GB,90.0,57.41,-6.19,5.17,55.92
445,Conde,92.0,BR,89.0,-11.81,-37.61,9.19,75.36
446,Kholodnyy,0.0,RU,66.0,62.72,147.95,3.6,68.61
447,Vardo,1.0,US,39.0,39.62,-77.74,3.36,80.37
449,Parrita,75.0,CR,50.0,9.52,-84.33,21.92,80.62
450,Mikuni,20.0,JP,94.0,36.22,136.15,3.36,71.6
452,Jacareacanga,12.0,BR,70.0,-6.22,-57.76,2.59,84.36
453,Yar-Sale,92.0,RU,86.0,66.83,70.83,6.73,54.66
454,Tilichiki,20.0,RU,76.0,60.47,166.1,5.61,59.79
455,Jinchang,0.0,CN,84.0,38.52,102.19,2.48,48.54
456,Kudahuvadhoo,76.0,MV,100.0,2.67,72.89,16.24,84.27
459,Kilindoni,92.0,TZ,96.0,-7.91,39.67,16.02,77.34
460,Gao,0.0,ML,53.0,16.28,-0.04,1.14,87.87
461,Ankang,92.0,CN,81.0,32.73,108.99,1.92,70.59
462,Shingu,64.0,JP,98.0,33.72,135.99,7.18,76.71
463,Mana,75.0,RS,82.0,43.52,20.24,8.05,59.7
464,Vitry-le-Francois,0.0,FR,47.0,48.73,4.58,8.05,75.24
465,Kupang,0.0,ID,87.0,-10.16,123.6,17.02,76.71
466,Yarim,44.0,YE,69.0,14.3,44.38,2.59,54.93
467,Wangkui,92.0,CN,99.0,46.83,126.5,7.96,67.26
468,Dori,8.0,BF,75.0,14.03,-0.03,2.71,82.2
469,Altar,0.0,MX,28.0,30.72,-111.84,4.72,100.83
471,Nelson Bay,20.0,AU,71.0,-32.72,152.14,14.99,50
472,Nyaunglebin,92.0,MM,100.0,17.95,96.73,3.15,72.3
473,Leningradskiy,48.0,RU,98.0,69.38,178.42,20.49,30.99
474,Oriximina,12.0,BR,60.0,-1.77,-55.87,5.73,86.97
476,Evensk,80.0,RU,96.0,61.92,159.24,6.73,51.42
477,Mantua,40.0,IT,54.0,45.16,10.79,1.12,81.37
478,Luba,88.0,PH,92.0,17.32,120.7,2.93,70.23
479,Nishihara,1.0,JP,88.0,35.74,139.53,4.7,75.24
480,Mao,40.0,DO,52.0,19.55,-71.08,9.17,90.48
481,Samaipata,92.0,BO,90.0,-18.18,-63.88,4.5,53.58
482,Sampit,8.0,ID,90.0,-2.54,112.95,6.62,75.72
483,Ballarat,88.0,AU,91.0,-37.56,143.86,10.2,46.29
485,Chimoio,92.0,MZ,99.0,-19.11,33.48,6.06,61.23
486,Fort Nelson,40.0,CA,33.0,58.81,-122.69,6.93,77
487,Santiago del Estero,0.0,AR,62.0,-27.8,-64.26,11.21,53.67
488,Quesnel,75.0,CA,52.0,52.98,-122.49,3.36,68
489,Coihaique,90.0,CL,92.0,-45.58,-72.07,3.36,27.16
490,Thinadhoo,88.0,MV,100.0,0.53,72.93,14,84.72
491,Kisaran,88.0,ID,100.0,2.98,99.62,4.05,72.57
492,Huangmei,48.0,CN,94.0,30.1,115.95,2.71,77.25
493,Puebloviejo,40.0,CO,50.0,10.99,-74.28,9.17,93.79
494,Beringovskiy,44.0,RU,100.0,63.05,179.32,23.06,44.76
496,Pangnirtung,8.0,CA,87.0,66.15,-65.72,4.5,38.82
497,Anloga,20.0,GH,88.0,5.79,0.9,10.29,78.8
498,Havoysund,0.0,NO,87.0,71,24.66,3.36,52.74
499,Jalu,0.0,LY,35.0,29.03,21.55,14.12,86.7
500,Dunedin,92.0,NZ,93.0,-45.87,170.5,2.71,37.29
501,Sur,12.0,OM,80.0,22.57,59.53,9.53,89.67
502,Lapeer,1.0,US,28.0,43.05,-83.32,9.17,83.28
503,Vegachi,24.0,CO,61.0,6.76,-74.79,2.71,78.78
504,Raudeberg,75.0,NO,81.0,61.99,5.14,13.87,51.8
505,Mujiayingzi,24.0,CN,100.0,42.12,118.78,5.5,62.13
506,Calama,0.0,CL,6.0,-22.46,-68.93,18.34,69.8
507,Tarrafal,64.0,CV,100.0,15.28,-23.77,7.63,76.53
508,Chapais,1.0,CA,45.0,49.78,-74.86,21.92,84.2
510,Chase,1.0,US,30.0,43.89,-85.64,10.29,82.02
511,Alanya,0.0,TR,100.0,36.55,32,2.37,71.67
512,Namwala,64.0,ZM,63.0,-15.75,26.45,10.09,64.2
513,Madoc,5.0,CA,42.0,43.71,-79.75,12.75,82.11
514,Peace River,40.0,CA,59.0,56.23,-117.29,13.87,64.4
515,Sehithwa,8.0,BW,88.0,-20.47,22.7,10.42,51.78
518,Nome,1.0,US,78.0,30.04,-94.42,11.41,79.27
519,Berlevag,0.0,NO,58.0,70.86,29.09,20.8,53.46
520,El Vigia,20.0,MX,32.0,26.85,-109.72,6.93,96.8
521,Ust-Nera,0.0,RU,41.0,64.57,143.24,2.37,70.95
522,Zheleznodorozhnyy,75.0,RU,72.0,55.75,38,8.95,62.15
523,Altus,1.0,US,30.0,34.64,-99.33,3.36,92.79
524,Richards Bay,36.0,ZA,97.0,-28.77,32.06,3.38,56.46
525,Hambantota,88.0,LK,100.0,6.12,81.12,16.69,76.62
526,Dodge City,20.0,US,38.0,37.75,-100.02,8.05,88.54
527,Antalaha,64.0,MG,97.0,-14.9,50.28,7.52,69.6
528,Touros,0.0,BR,92.0,-5.2,-35.46,15.68,76.26
529,Turan,0.0,RU,89.0,52.15,93.92,2.15,35.22
530,San Borja,20.0,BO,56.0,-14.86,-66.75,1.14,82.65
531,Zemlyansk,0.0,RU,68.0,51.9,38.73,8.95,66.2
532,Vozhega,64.0,RU,91.0,60.47,40.21,9.19,60.96
533,Seryshevo,92.0,RU,97.0,51.09,128.38,12.77,60.33
534,Quelimane,20.0,MZ,94.0,-17.88,36.89,4.7,69.8
535,Corinto,0.0,BR,61.0,-18.36,-44.46,2.15,70.95
536,Faya,5.0,SA,68.0,18.39,42.45,14.99,71.6
537,Praia da Vitoria,75.0,PT,73.0,38.73,-27.07,13.22,73.4
539,Oussouye,40.0,SN,83.0,12.49,-16.54,2.24,80.6
540,Quatre Cocos,40.0,MU,68.0,-20.21,57.76,13.87,71.6
541,Adrar,92.0,DZ,8.0,27.87,-0.29,8.05,111.2
542,Vasterhaninge,0.0,SE,59.0,59.12,18.1,10.29,66.2
543,Bayan,32.0,MN,82.0,47.25,107.54,2.71,34.14
544,Erzin,20.0,TR,88.0,36.95,36.2,3.36,79.83
545,Balabac,88.0,PH,95.0,7.99,117.06,15.57,86.25
546,Hervey Bay,0.0,AU,100.0,-25.3,152.85,10.42,55.29
547,Lapua,0.0,FI,67.0,62.97,23.01,6.93,59.83
548,Haapiti,40.0,PF,74.0,-17.57,-149.87,9.17,80.6
549,Tokur,20.0,RU,90.0,53.13,132.9,2.15,58.62
550,Khasan,92.0,RU,100.0,42.43,130.64,7.63,58.8
551,Cloppenburg,0.0,DE,63.0,52.85,8.04,6.93,63.48
552,Lagunas,12.0,PE,64.0,-5.23,-75.68,1.92,85.62
553,The Pas,20.0,CA,42.0,53.82,-101.24,18.34,66.2
554,Deputatskiy,12.0,RU,79.0,69.3,139.9,7.96,55.2
555,Batagay-Alyta,0.0,RU,72.0,67.8,130.41,5.06,69.15
556,Atlantis,0.0,ZA,58.0,-33.57,18.5,1.12,55.4
558,Razole,56.0,IN,100.0,16.48,81.84,8.08,78.15
559,Vangaindrano,92.0,MG,98.0,-23.35,47.6,3.94,62.49
560,Bikapur,24.0,IN,88.0,26.66,82.14,11.65,82.65
561,Daru,100.0,SL,95.0,7.99,-10.85,5.17,74.73
562,Zyryanka,0.0,RU,45.0,65.73,150.89,2.71,78.42
563,Mount Isa,0.0,AU,29.0,-20.73,139.49,6.93,51.8
564,Rosarito,40.0,CO,48.0,4.91,-75.23,10.29,83.28
565,Launceston,0.0,AU,74.0,-41.43,147.14,1.12,35.6
566,Dekernes,0.0,EG,74.0,31.09,31.59,8.05,82.4
567,Dumai,92.0,ID,100.0,1.68,101.45,3.94,72.75
568,Kedrovyy,0.0,RU,93.0,56.17,91.82,2.24,44.6
569,Kohat,68.0,PK,79.0,33.6,71.44,2.04,75.72
570,Tsumeb,0.0,NA,63.0,-19.25,17.72,9.42,53.22
571,Ulladulla,0.0,AU,70.0,-35.36,150.48,12.75,48.2
572,Qandala,0.0,SO,53.0,11.47,49.87,5.5,85.35
573,Dryden,90.0,CA,88.0,49.79,-92.84,10.29,68
574,Puerto Narino,75.0,CO,83.0,-3.77,-70.38,4.7,84.2
575,Arvika,0.0,SE,63.0,59.65,12.59,4.7,64.4
576,Magadan,90.0,RU,100.0,59.56,150.8,3.49,51.8
577,Bahawalpur,0.0,PK,58.0,29.39,71.66,9.08,83.19
578,Mandan,40.0,US,69.0,46.83,-100.89,13.87,83.39
579,Waipawa,68.0,NZ,66.0,-39.94,176.59,19.04,55.83
580,Amga,12.0,RU,88.0,60.89,131.98,2.37,72.93
581,Mizan Teferi,64.0,ET,87.0,6.99,35.58,2.93,62.67
582,Uthal,80.0,PK,85.0,25.81,66.62,5.73,82.11
583,Byron Bay,0.0,AU,47.0,-28.65,153.62,6.93,55.4
584,Langsa,24.0,ID,100.0,4.47,97.97,2.37,69.87
585,Port Lincoln,88.0,AU,100.0,-34.72,135.86,3.38,53.85
586,Fayaoue,92.0,NC,98.0,-20.65,166.53,10.2,73.65
587,Camacupa,0.0,AO,75.0,-12.02,17.48,4.16,50.7
588,Atambua,0.0,ID,100.0,-9.11,124.89,14.12,73.29
589,Karpathos,0.0,GR,83.0,35.51,27.21,10.29,77
590,Mamallapuram,40.0,IN,58.0,12.63,80.17,6.93,87.8
591,Lompoc,1.0,US,19.0,34.64,-120.46,4.7,86.63
592,Ikauna,64.0,IN,76.0,27.53,81.97,12.21,84.9
593,Novyy Urgal,92.0,RU,80.0,51.07,132.56,3.94,64.2
594,Tazovskiy,76.0,RU,100.0,67.47,78.7,5.61,57.99
595,Liberty,1.0,US,42.0,39.64,-84.93,3.36,85.62
596,Lima,0.0,PE,63.0,-12.06,-77.04,2.71,64.92
598,Biltine,56.0,TD,57.0,14.53,20.93,8.41,79.05
599,Norfolk,40.0,US,47.0,36.85,-76.29,14.99,77.9
600,Riviere-au-Renard,90.0,CA,39.0,49,-64.4,13.87,80.6
602,Kohima,92.0,IN,100.0,25.66,94.1,1.48,69.24
603,Wageningen,0.0,NL,60.0,51.98,5.66,10.29,69.46
604,Kozhva,20.0,RU,74.0,65.11,57.05,5.39,63.3
605,Dakoro,80.0,NE,48.0,14.51,6.76,8.63,85.53
606,Juan Lacaze,20.0,UY,81.0,-34.43,-57.44,14.99,53.6
608,Gat,68.0,SN,85.0,14.69,-16.54,7.07,78.51
609,Paarl,0.0,ZA,58.0,-33.74,18.98,1.12,55.4
610,Caracoli,20.0,CO,66.0,8.13,-76.58,11.41,89.6
611,Winnemucca,1.0,US,12.0,40.97,-117.74,14.99,96.8
612,Vasilsursk,68.0,RU,92.0,56.13,46.01,2.04,64.02
613,Douglas,20.0,US,26.0,31.34,-109.55,10.29,91.4
614,Danbury,1.0,US,42.0,41.39,-73.45,1.03,81.01
615,Wyszkow,0.0,PL,53.0,52.59,21.46,6.93,71.6
